"R.br.","Br.indexa","Kvizovi","Zadace","Tutorijali","Iparc01.10.","IIparc01.10.","Iparc21.11.","IIparc21.01.","Usmeni05.02.","UKUPNO","Ocjena","Grupa"
"1.","18097","12.5","13.56","0",NA,NA,"9.5",NA,NA,"35.56 (34.52%)",NA,"DM-AiE"
"2.","17508","4","3.86","0",NA,NA,NA,NA,NA,"7.86 (7.63%)",NA,"DM-AiE"
"3.","17458","11","2.25","0",NA,NA,NA,NA,NA,"13.25 (12.86%)",NA,"DM-AiE"
"4.","17967","10","12","0",NA,NA,NA,NA,NA,"22 (21.35%)",NA,"DM-AiE"
"5.","17465","11.5","16.9","0","10",NA,"9","8.9",NA,"47.3 (45.92%)",NA,"DM-AiE"
"6.","17884","10","15.75","0",NA,NA,"8","9.5",NA,"43.25 (41.99%)",NA,"DM-AiE"
"7.","14621","5","0","0",NA,NA,NA,NA,NA,"5 (4.85%)",NA,"DM-AiE"
"8.","17931","11.5","16.29","0",NA,NA,"8",NA,NA,"35.79 (34.74%)",NA,"DM-AiE"
"9.","17917","11","9.31","0",NA,NA,NA,NA,NA,"20.31 (19.71%)",NA,"DM-AiE"
"10.","18059","13","25.81","0",NA,NA,"12.5","19.4","28.5","99.21 (96.32%)","10","DM-AiE"
"11.","18029","11","18.11","0",NA,NA,"14.2","9.2",NA,"52.51 (50.98%)",NA,"DM-AiE"
"12.","18147","9.5","9.53","0",NA,NA,"11.8","8.3",NA,"39.13 (37.99%)",NA,"DM-AiE"
"13.","18248","13","25.15","0",NA,NA,"14.5","13.2","26","91.85 (89.17%)","10","DM-AiE"
"14.","18026","9","9.67","0",NA,NA,"12.2","6",NA,"36.87 (35.79%)",NA,"DM-AiE"
"15.","18055","10","3.21","0",NA,NA,"6.3",NA,NA,"19.51 (18.94%)",NA,"DM-AiE"
"16.","17557","12.5","19.27","0",NA,NA,"7.8","6.9",NA,"46.47 (45.11%)",NA,"DM-AiE"
"17.","17835","11.5","8","0",NA,NA,"2.9","5.8",NA,"28.2 (27.37%)",NA,"DM-AiE"
"18.","17911","12","19.66","0",NA,NA,"12.1","10.5","21","75.26 (73.06%)","8","DM-AiE"
"19.","18212","12.5","24.23","0",NA,NA,"11.7","13.2","21","82.63 (80.22%)",NA,"DM-AiE"
"20.","18122","13","18.73","0",NA,NA,"8.8",NA,NA,"40.53 (39.34%)",NA,"DM-AiE"
"21.","17764","11","9.86","0",NA,NA,NA,NA,NA,"20.86 (20.25%)",NA,"DM-AiE"
"22.","17376","4","0","0",NA,NA,NA,NA,NA,"4 (3.88%)",NA,"DM-AiE"
"1.","17740","9","5.35","0",NA,NA,"5.3",NA,NA,"19.65 (19.07%)",NA,"DM-RI1"
"2.","18028","13.5","22.47","0",NA,NA,"13.6","12.2","29.5","91.27 (88.61%)","10","DM-RI1"
"3.","17950","12.5","17.94","0",NA,NA,"8.7","7.5",NA,"46.64 (45.28%)",NA,"DM-RI1"
"4.","16500","10.5","3.88","0",NA,NA,"-1",NA,NA,"13.38 (12.99%)",NA,"DM-RI1"
"5.","18051","13.5","15.68","0",NA,NA,"15.4","10",NA,"54.58 (52.99%)",NA,"DM-RI1"
"6.","17610","9","6.37","0",NA,NA,"6",NA,NA,"21.37 (20.74%)",NA,"DM-RI1"
"7.","17770","11.5","18.69","0",NA,NA,"10","9.5",NA,"49.69 (48.24%)",NA,"DM-RI1"
"8.","18048","12","15.49","0",NA,NA,"7.8","7.5",NA,"42.79 (41.54%)",NA,"DM-RI1"
"9.","18067","12.5","15.19","0",NA,NA,"12.5","10.1","23","73.29 (71.15%)","8","DM-RI1"
"10.","18182","13.5","15.62","0",NA,NA,"9.5","10.4",NA,"49.02 (47.59%)",NA,"DM-RI1"
"11.","16802","1","2.16","0",NA,NA,"2.1",NA,NA,"5.26 (5.1%)",NA,"DM-RI1"
"12.","17253","7","8.2","0",NA,NA,"3.7","4.3",NA,"23.2 (22.52%)",NA,"DM-RI1"
"13.","18197","12","6.44","0",NA,NA,"7.4","4.2",NA,"30.04 (29.16%)",NA,"DM-RI1"
"14.","18002","11.5","7.61","0",NA,NA,"6.1","9.3",NA,"34.51 (33.5%)",NA,"DM-RI1"
"15.","18084","12","14.4","0",NA,NA,"12.6","7",NA,"46 (44.66%)",NA,"DM-RI1"
"16.","16750","0","0","0",NA,NA,NA,NA,NA,"0 (0%)",NA,"DM-RI1"
"17.","18287","6.5","8.05","0",NA,NA,"6.8",NA,NA,"21.35 (20.72%)",NA,"DM-RI1"
"18.","17769","10.5","13.87","0",NA,NA,"7.7","7.9",NA,"39.97 (38.8%)",NA,"DM-RI1"
"19.","18146","12","3.65","0",NA,NA,"3.4","3.1",NA,"22.15 (21.5%)",NA,"DM-RI1"
"20.","18272","7.5","6.71","0",NA,NA,"10","5.1",NA,"29.31 (28.45%)",NA,"DM-RI1"
"21.","17909","10.5","7.85","0",NA,NA,NA,NA,NA,"18.35 (17.81%)",NA,"DM-RI1"
"22.","18033","12","14.27","0",NA,NA,"10.5","10.4","26","73.17 (71.03%)","8","DM-RI1"
"23.","17378","8.5","11.55","0",NA,NA,"3.5",NA,NA,"23.55 (22.86%)",NA,"DM-RI1"
"1.","17520","8.5","9.38","0",NA,NA,"7.3",NA,NA,"25.18 (24.44%)",NA,"DM-RI2"
"2.","17047","9.5","5.32","0",NA,NA,"1.1",NA,NA,"15.92 (15.45%)",NA,"DM-RI2"
"3.","17685","6.5","2.1","0",NA,NA,NA,NA,NA,"8.6 (8.34%)",NA,"DM-RI2"
"4.","18031","12.5","19.08","0",NA,NA,"6.4","8.1",NA,"46.08 (44.73%)",NA,"DM-RI2"
"5.","17534","8.5","7.16","0",NA,NA,"10",NA,NA,"25.66 (24.91%)",NA,"DM-RI2"
"6.","17735","1","0","0",NA,NA,NA,NA,NA,"1 (0.97%)",NA,"DM-RI2"
"7.","17717","10","3.14","0",NA,NA,NA,NA,NA,"13.14 (12.75%)",NA,"DM-RI2"
"8.","16660","2.5","7.39","0",NA,NA,"5.2",NA,NA,"15.09 (14.65%)",NA,"DM-RI2"
"9.","18103","10","14.74","0",NA,NA,"11.8","8.2",NA,"44.74 (43.43%)",NA,"DM-RI2"
"10.","17716","12","16.04","0",NA,NA,"7.4","6.1",NA,"41.54 (40.33%)",NA,"DM-RI2"
"11.","18080","12","11.12","0",NA,NA,"8.4","7",NA,"38.52 (37.39%)",NA,"DM-RI2"
"12.","18268","12.5","13.65","0",NA,NA,"2.8",NA,NA,"28.95 (28.1%)",NA,"DM-RI2"
"13.","17845","10","10.1","0",NA,NA,"4.6","5.3",NA,"30 (29.12%)",NA,"DM-RI2"
"14.","18290","11.5","12.77","0",NA,NA,"12.8","4.8",NA,"41.87 (40.65%)",NA,"DM-RI2"
"15.","17746","10.5","15.17","0",NA,NA,"5.9","8.5",NA,"40.07 (38.9%)",NA,"DM-RI2"
"16.","17338","9","4.22","0",NA,NA,"4.2","0.6",NA,"18.02 (17.49%)",NA,"DM-RI2"
"17.","17893","9.5","8.01","0",NA,NA,"10.1","4.4",NA,"32.01 (31.07%)",NA,"DM-RI2"
"18.","17644","8.5","5.45","0",NA,NA,"5.1","1.4",NA,"20.45 (19.85%)",NA,"DM-RI2"
"19.","17331","10","9.28","0",NA,NA,"3.8",NA,NA,"23.08 (22.4%)",NA,"DM-RI2"
"20.","18117","12","15.19","0",NA,NA,"7.2","10",NA,"44.39 (43.09%)",NA,"DM-RI2"
"21.","17476","8","12.96","0",NA,NA,"4.7","2.6",NA,"28.26 (27.43%)",NA,"DM-RI2"
"22.","17862","12.5","10.49","0",NA,NA,"6.3","4",NA,"33.29 (32.32%)",NA,"DM-RI2"
"23.","17897","9","13.78","0",NA,NA,"6.9",NA,NA,"29.68 (28.81%)",NA,"DM-RI2"
"24.","17814","10","13.45","0",NA,NA,"5.8","5.5",NA,"34.75 (33.73%)",NA,"DM-RI2"
"25.","18088","11.5","19.97","0",NA,NA,"12.3",NA,NA,"43.77 (42.49%)",NA,"DM-RI2"
"26.","17915","7","2.15","0",NA,NA,NA,NA,NA,"9.15 (8.88%)",NA,"DM-RI2"
"1.","17078","11","19.31","0",NA,NA,NA,NA,NA,"30.31 (29.42%)",NA,"DM-RI3"
"2.","17514","4","0.1","0",NA,NA,NA,NA,NA,"4.1 (3.98%)",NA,"DM-RI3"
"3.","17988","2","0","0",NA,NA,NA,NA,NA,"2 (1.94%)",NA,"DM-RI3"
"4.","18004","11.5","10.45","0",NA,NA,"11.2",NA,NA,"33.15 (32.18%)",NA,"DM-RI3"
"5.","17540","2","16.52","0",NA,NA,"11.5","10","0","40.02 (38.85%)",NA,"DM-RI3"
"6.","17969","3.5","12.94","0",NA,NA,"7.9",NA,NA,"24.34 (23.63%)",NA,"DM-RI3"
"7.","18174","12.5","20.15","0",NA,NA,"16.3","8.7",NA,"57.65 (55.97%)",NA,"DM-RI3"
"8.","18231","12.5","7.01","0",NA,NA,"3.9","3.3",NA,"26.71 (25.93%)",NA,"DM-RI3"
"9.","18187","12.5","12.88","0",NA,NA,"4.3","7.4",NA,"37.08 (36%)",NA,"DM-RI3"
"10.","18296","13.5","17.82","0",NA,NA,"6","7.3",NA,"44.62 (43.32%)",NA,"DM-RI3"
"11.","17863","10.5","12.42","0",NA,NA,NA,NA,NA,"22.92 (22.25%)",NA,"DM-RI3"
"12.","18112","12.5","11.74","0",NA,NA,"11.5","7.4",NA,"43.14 (41.88%)",NA,"DM-RI3"
"13.","17487","11","5.6","0",NA,NA,NA,NA,NA,"16.6 (16.11%)",NA,"DM-RI3"
"14.","18154","12.5","19.37","0",NA,NA,"7.4","7.3",NA,"46.57 (45.21%)",NA,"DM-RI3"
"15.","17322","3.5","0","0",NA,NA,NA,NA,NA,"3.5 (3.39%)",NA,"DM-RI3"
"16.","18238","11","16.79","0",NA,NA,"10","10.5","25.5","73.79 (71.64%)","8","DM-RI3"
"17.","18065","12.5","8.42","0",NA,NA,"7.8","10",NA,"38.72 (37.59%)",NA,"DM-RI3"
"18.","17834","12","8.46","0",NA,NA,NA,NA,NA,"20.46 (19.86%)",NA,"DM-RI3"
"19.","18120","12.5","17.4","0",NA,NA,"13.9","14.2","24","82 (79.61%)","9","DM-RI3"
"20.","17823","11","6.14","0",NA,NA,"6","0",NA,"23.14 (22.46%)",NA,"DM-RI3"
"21.","17624","9","9.83","0",NA,NA,"5.7",NA,NA,"24.53 (23.81%)",NA,"DM-RI3"
"22.","16641","0","0","0",NA,NA,NA,NA,NA,"0 (0%)",NA,"DM-RI3"
"23.","17444","1","3.24","0",NA,NA,NA,NA,NA,"4.24 (4.11%)",NA,"DM-RI3"
"1.","17230","8.5","8.75","0",NA,NA,NA,NA,NA,"17.25 (16.74%)",NA,"DM-RI4"
"2.","16928","5.5","1.45","0",NA,NA,NA,NA,NA,"6.95 (6.74%)",NA,"DM-RI4"
"3.","16110","6.5","13.7","0",NA,NA,"5.7","1.7",NA,"27.6 (26.79%)",NA,"DM-RI4"
"4.","16987","3.5","8.04","0",NA,"10.3","9",NA,NA,"30.84 (29.94%)",NA,"DM-RI4"
"5.","17459","7","0","0",NA,NA,NA,NA,NA,"7 (6.79%)",NA,"DM-RI4"
"6.","17696","7.5","11.67","8",NA,NA,"8.1","8.8",NA,"44.07 (42.78%)",NA,"DM-RI4"
"7.","17269","9.5","9.6","0",NA,NA,"7","5.5",NA,"31.6 (30.67%)",NA,"DM-RI4"
"8.","18145","12.5","15.93","0",NA,NA,"8.9","9",NA,"46.33 (44.98%)",NA,"DM-RI4"
"9.","18194","13.5","18.05","0",NA,NA,"9.1","9",NA,"49.65 (48.2%)",NA,"DM-RI4"
"10.","17914","13","18.6","0","10.9",NA,NA,NA,NA,"42.5 (41.26%)",NA,"DM-RI4"
"11.","18232","9.5","7.99","0",NA,NA,"13.4","10","0","40.89 (39.69%)",NA,"DM-RI4"
"12.","17235","1","0","0",NA,NA,NA,NA,NA,"1 (0.97%)",NA,"DM-RI4"
"13.","18035","12","18.12","0",NA,NA,"10","10.4","22.5","73.02 (70.89%)","8","DM-RI4"
"14.","18115","10","17.87","0",NA,NA,"9.1","9.5",NA,"46.47 (45.11%)",NA,"DM-RI4"
"15.","18083","13","25.03","0",NA,NA,"13.5","18.6","29","99.13 (96.24%)","10","DM-RI4"
"16.","18181","11.5","14.05","0",NA,NA,"4.3",NA,NA,"29.85 (28.98%)",NA,"DM-RI4"
"17.","18252","12.5","5.92","0",NA,NA,"6.5","5.9",NA,"30.82 (29.92%)",NA,"DM-RI4"
"18.","18099","13","7.75","0",NA,NA,"11.1","9.5",NA,"41.35 (40.14%)",NA,"DM-RI4"
"19.","18205","8","0.98","0",NA,NA,"7.9",NA,NA,"16.88 (16.38%)",NA,"DM-RI4"
"20.","18113","13","14.85","0",NA,NA,"10","8.5",NA,"46.35 (45%)",NA,"DM-RI4"
"21.","17686","10.5","14.76","0",NA,NA,"2.7","1.3",NA,"29.26 (28.4%)",NA,"DM-RI4"
"22.","17697","3.5","0","0",NA,NA,"-1",NA,NA,"2.5 (2.42%)",NA,"DM-RI4"
"23.","17324","12","19.9","0",NA,NA,"11.3","8.6",NA,"51.8 (50.29%)",NA,"DM-RI4"
"24.","17819","6","16.395","0",NA,NA,"4.9","8.4",NA,"35.695 (34.65%)",NA,"DM-RI4"
"25.","18131","12","11.4","0",NA,NA,"11.3","8.8",NA,"43.5 (42.23%)",NA,"DM-RI4"
"26.","18022","12","17.95","0",NA,NA,"10","8.1",NA,"48.05 (46.65%)",NA,"DM-RI4"
"27.","17749","12","9.7","0",NA,NA,NA,NA,NA,"21.7 (21.06%)",NA,"DM-RI4"
"28.","18173","12","22.57","0",NA,NA,"10","10.7","18.5","73.77 (71.62%)",NA,"DM-RI4"
"29.","18265","11","18.39","0",NA,NA,"10","10.7","23","73.09 (70.96%)","8","DM-RI4"
"30.","18175","7","12.15","0",NA,NA,"5.6","4.3",NA,"29.05 (28.2%)",NA,"DM-RI4"
"31.","17361","7","6.63","0",NA,NA,"1.8",NA,NA,"15.43 (14.98%)",NA,"DM-RI4"
"32.","17997","9.5","20.28","0",NA,NA,"11","6.7",NA,"47.48 (46.09%)",NA,"DM-RI4"
"33.","18261","10.5","14.84","0",NA,NA,"6","4.1",NA,"35.44 (34.4%)",NA,"DM-RI4"
"1.","17337","0","3","12.1",NA,NA,"3.2","2",NA,"20.3 (19.7%)",NA,"[Bez grupe]"
"2.","17676","0","4.3","9.2",NA,NA,NA,"2.2",NA,"15.7 (15.24%)",NA,"[Bez grupe]"
"3.","17537","0","7.42","11",NA,NA,NA,"-1",NA,"17.42 (16.91%)",NA,"[Bez grupe]"
"4.","17507","0","2.08","16.8",NA,NA,"2.7",NA,NA,"21.58 (20.95%)",NA,"[Bez grupe]"
"5.","17813","0","20.12","13.2","12.4",NA,NA,"11.6","18.5","75.82 (73.61%)","8","[Bez grupe]"
"6.","17733","0","19.67","14.7","10",NA,NA,"6",NA,"50.37 (48.9%)",NA,"[Bez grupe]"
"7.","17979","0","2.47","11.3","11",NA,NA,"5.4",NA,"30.17 (29.29%)",NA,"[Bez grupe]"
"8.","17242","0","14.37","11.3","11.5",NA,NA,"10","11.5","58.67 (56.96%)",NA,"[Bez grupe]"
"9.","17758","0","11.81","11.5",NA,"10",NA,NA,NA,"33.31 (32.33%)",NA,"[Bez grupe]"
"10.","17574","0","7.99","12.9",NA,NA,NA,NA,NA,"20.89 (20.28%)",NA,"[Bez grupe]"
"11.","17499","0","5.92","9.2",NA,NA,"8.3",NA,NA,"23.42 (22.73%)",NA,"[Bez grupe]"
"12.","17082","0","0.3","6.5",NA,NA,NA,NA,NA,"6.8 (6.6%)",NA,"[Bez grupe]"
"13.","17827","0","12.97","12",NA,NA,"8.6","8.5",NA,"42.07 (40.84%)",NA,"[Bez grupe]"
"14.","17142","0","4.74","13.5",NA,NA,"3.7","3.2",NA,"25.14 (24.4%)",NA,"[Bez grupe]"
"15.","17453","0","2.23","14.7",NA,NA,"0","7.2",NA,"24.13 (23.42%)",NA,"[Bez grupe]"
