"R.br.","Br.indexa","Prisustvo","Zadace","Iparc01.10.","IIparc01.10.","Iparc21.11.","IIparc22.01.","Usmeni06.02.","Usmeni07.02.","Usmeni08.02.","Usmeni11.02.","UKUPNO","Ocjena","Grupa"
"1.","17630","10","0",NA,NA,NA,NA,NA,NA,NA,NA,"10 (10%)",NA,"PON 9:00"
"2.","17794","10","18",NA,NA,"13.5","14",NA,"23",NA,NA,"78.5 (78.5%)","8","PON 9:00"
"3.","17485","10","3.1",NA,NA,"6.2",NA,NA,NA,NA,NA,"19.3 (19.3%)",NA,"PON 9:00"
"4.","17479","10","13.9",NA,NA,NA,NA,NA,NA,NA,NA,"23.9 (23.9%)",NA,"PON 9:00"
"5.","17512","10","19.7",NA,NA,"10.4","8.6",NA,NA,NA,NA,"48.7 (48.7%)",NA,"PON 9:00"
"6.","17807","10","11.4",NA,NA,"10.4","10",NA,NA,NA,NA,"41.8 (41.8%)",NA,"PON 9:00"
"7.","17339","10","15.1",NA,NA,"10.5","10",NA,NA,"16",NA,"61.6 (61.6%)","6","PON 9:00"
"8.","17288","10","7.3",NA,NA,"8.4","0",NA,NA,NA,NA,"25.7 (25.7%)",NA,"PON 9:00"
"9.","17670","10","23.8",NA,NA,"14","15.2",NA,NA,"17",NA,"80 (80%)","8","PON 9:00"
"1.","17905","10","6.4",NA,NA,"13.3","10",NA,"21",NA,NA,"60.7 (60.7%)","6","PON 10:00"
"2.","17818","10","9.6",NA,NA,"12.4","4.8",NA,NA,NA,NA,"36.8 (36.8%)",NA,"PON 10:00"
"3.","16543","10","3.5",NA,NA,NA,NA,NA,NA,NA,NA,"13.5 (13.5%)",NA,"PON 10:00"
"4.","17829","10","2",NA,NA,NA,"3.4",NA,NA,NA,NA,"15.4 (15.4%)",NA,"PON 10:00"
"5.","17726","10","1.5",NA,NA,NA,NA,NA,NA,NA,NA,"11.5 (11.5%)",NA,"PON 10:00"
"6.","17828","10","8.9",NA,NA,NA,"5.9",NA,NA,NA,NA,"24.8 (24.79%)",NA,"PON 10:00"
"7.","17691","10","3",NA,NA,NA,NA,NA,NA,NA,NA,"13 (13%)",NA,"PON 10:00"
"8.","17698","10","4.1",NA,NA,"7.8","10.3",NA,NA,NA,NA,"32.2 (32.2%)",NA,"PON 10:00"
"9.","17689","10","4.2",NA,NA,"8.2","8.8",NA,NA,NA,NA,"31.2 (31.2%)",NA,"PON 10:00"
"10.","17628","10","4.2",NA,NA,NA,NA,NA,NA,NA,NA,"14.2 (14.19%)",NA,"PON 10:00"
"11.","17397","10","7.3",NA,NA,"10",NA,NA,NA,NA,NA,"27.3 (27.3%)",NA,"PON 10:00"
"12.","16959","10","10.6",NA,NA,"11.3","6.9",NA,NA,NA,NA,"38.8 (38.8%)",NA,"PON 10:00"
"13.","17528","10","13.9",NA,NA,"8.6","8",NA,NA,NA,NA,"40.5 (40.5%)",NA,"PON 10:00"
"14.","17361","10","9.4",NA,NA,NA,NA,NA,NA,NA,NA,"19.4 (19.39%)",NA,"PON 10:00"
"1.","16732","10","11.1",NA,NA,"0","8",NA,NA,NA,NA,"29.1 (29.1%)",NA,"PON 11:00"
"2.","17968","10","14.8",NA,NA,"8.3","13.7",NA,NA,NA,NA,"46.8 (46.8%)",NA,"PON 11:00"
"3.","17135","10","8.1",NA,NA,"10.1","1.5",NA,NA,NA,NA,"29.7 (29.7%)",NA,"PON 11:00"
"4.","17207","10","6.4",NA,NA,NA,NA,NA,NA,NA,NA,"16.4 (16.39%)",NA,"PON 11:00"
"5.","17623","10","12.8",NA,NA,"5.6","5.3",NA,NA,NA,NA,"33.7 (33.69%)",NA,"PON 11:00"
"6.","17280","10","11.1",NA,NA,"11.7","10",NA,NA,NA,NA,"42.8 (42.8%)",NA,"PON 11:00"
"7.","17600","10","5.6",NA,NA,"8.8",NA,NA,NA,NA,NA,"24.4 (24.4%)",NA,"PON 11:00"
"8.","17580","10","8.9",NA,NA,"12.1","8.1",NA,NA,NA,NA,"39.1 (39.1%)",NA,"PON 11:00"
"9.","17706","10","13.3",NA,NA,"10","10",NA,NA,"18",NA,"61.3 (61.3%)","6","PON 11:00"
"10.","17496","10","14.1",NA,NA,"10","11",NA,NA,"25",NA,"70.1 (70.1%)","7","PON 11:00"
"11.","17321","10","8.1",NA,NA,"11","11.3",NA,NA,"23",NA,"63.4 (63.4%)","6","PON 11:00"
"12.","17447","10","7.4",NA,NA,"10","5.3",NA,NA,NA,NA,"32.7 (32.69%)",NA,"PON 11:00"
"13.","17431","10","4.6",NA,NA,"5.1",NA,NA,NA,NA,NA,"19.7 (19.69%)",NA,"PON 11:00"
"14.","18003","10","23.1",NA,NA,"16.6","14.9",NA,NA,"30",NA,"94.6 (94.6%)","9","PON 11:00"
"15.","17440","10","19.5",NA,NA,"11.3","10.1",NA,"15",NA,NA,"65.9 (65.9%)","7","PON 11:00"
"16.","17450","10","5.7",NA,NA,"10.5",NA,NA,NA,NA,NA,"26.2 (26.2%)",NA,"PON 11:00"
"1.","17664","10","0",NA,NA,"10.4","3.1",NA,NA,NA,NA,"23.5 (23.5%)",NA,"Ponovci"
"2.","16916","10","2.6",NA,NA,NA,NA,NA,NA,NA,NA,"12.6 (12.6%)",NA,"Ponovci"
"3.","14621","10","0",NA,NA,NA,NA,NA,NA,NA,NA,"10 (10%)",NA,"Ponovci"
"4.","16728","10","0",NA,NA,"8.4",NA,NA,NA,NA,NA,"18.4 (18.4%)",NA,"Ponovci"
"5.","17489","10","0",NA,NA,"1.7","0.5",NA,NA,NA,NA,"12.2 (12.2%)",NA,"Ponovci"
"6.","15387","10","0",NA,NA,NA,NA,NA,NA,NA,NA,"10 (10%)",NA,"Ponovci"
"7.","16115","10","0",NA,NA,NA,NA,NA,NA,NA,NA,"10 (10%)",NA,"Ponovci"
"8.","16511","10","0",NA,NA,NA,NA,NA,NA,NA,NA,"10 (10%)",NA,"Ponovci"
"9.","15904","10","0",NA,NA,NA,NA,NA,NA,NA,NA,"10 (10%)",NA,"Ponovci"
"10.","15223","10","5.8",NA,NA,NA,NA,NA,NA,NA,NA,"15.8 (15.8%)",NA,"Ponovci"
"11.","15791","10","0",NA,NA,"8","6.3",NA,NA,NA,NA,"24.3 (24.3%)",NA,"Ponovci"
"12.","16527","10","0",NA,NA,NA,NA,NA,NA,NA,NA,"10 (10%)",NA,"Ponovci"
"13.","16335","10","0",NA,NA,NA,NA,NA,NA,NA,NA,"10 (10%)",NA,"Ponovci"
"14.","15830","10","0",NA,NA,NA,NA,NA,NA,NA,NA,"10 (10%)",NA,"Ponovci"
"15.","16855","10","0",NA,NA,NA,NA,NA,NA,NA,NA,"10 (10%)",NA,"Ponovci"
"16.","15355","10","4.8",NA,NA,"5.8",NA,NA,NA,NA,NA,"20.6 (20.6%)",NA,"Ponovci"
"17.","17394","10","0",NA,NA,NA,NA,NA,NA,NA,NA,"10 (10%)",NA,"Ponovci"
"18.","17004","10","0",NA,NA,NA,NA,NA,NA,NA,NA,"10 (10%)",NA,"Ponovci"
"19.","16220","10","11.9",NA,NA,"4.2","6.2",NA,NA,NA,NA,"32.3 (32.29%)",NA,"Ponovci"
"20.","17210","10","8.25",NA,NA,"10","10.7",NA,NA,"17",NA,"55.95 (55.95%)","6","Ponovci"
"1.","17301","10","15.4",NA,NA,"1.5","12.1",NA,NA,NA,NA,"39 (39%)",NA,"SRI 14:00"
"2.","17374","10","7.6",NA,NA,"12.3","0",NA,NA,NA,NA,"29.9 (29.9%)",NA,"SRI 14:00"
"3.","17349","10","17.5",NA,NA,"12.3","3.5",NA,NA,NA,NA,"43.3 (43.3%)",NA,"SRI 14:00"
"4.","17449","10","16.2",NA,NA,"0.3","10",NA,NA,NA,NA,"36.5 (36.5%)",NA,"SRI 14:00"
"5.","17359","10","12.6",NA,NA,"9","6.7",NA,NA,NA,NA,"38.3 (38.3%)",NA,"SRI 14:00"
"6.","18008","10","21.6",NA,NA,"10","8.3",NA,NA,NA,NA,"49.9 (49.9%)",NA,"SRI 14:00"
"7.","17270","10","14.5",NA,NA,"6.8","7.7",NA,NA,NA,NA,"39 (39%)",NA,"SRI 14:00"
"8.","17838","10","17.8",NA,NA,"10","3.7",NA,NA,NA,NA,"41.5 (41.5%)",NA,"SRI 14:00"
"9.","17853","10","20.8",NA,NA,"10.1","10.2",NA,NA,NA,NA,"51.1 (51.09%)",NA,"SRI 14:00"
"10.","17334","10","12",NA,NA,"12.8","10.3",NA,NA,"20",NA,"65.1 (65.09%)","7","SRI 14:00"
"11.","17542","10","13.8",NA,NA,"11.4","10",NA,NA,"23",NA,"68.2 (68.2%)","7","SRI 14:00"
"12.","17360","10","8.2",NA,NA,"4",NA,NA,NA,NA,NA,"22.2 (22.2%)",NA,"SRI 14:00"
"13.","16960","10","9.8",NA,NA,NA,NA,NA,NA,NA,NA,"19.8 (19.8%)",NA,"SRI 14:00"
"14.","17333","10","24.6",NA,NA,"10.6","11.7",NA,NA,"27",NA,"83.9 (83.9%)","8","SRI 14:00"
"15.","17861","10","18.8",NA,NA,"17.1","9",NA,NA,NA,NA,"54.9 (54.9%)",NA,"SRI 14:00"
"1.","17603","10","17.2",NA,NA,"7.9","8.2",NA,NA,NA,NA,"43.3 (43.3%)",NA,"SRI 15:00"
"2.","17830","10","11.9",NA,NA,"10.4","6.3",NA,NA,NA,NA,"38.6 (38.59%)",NA,"SRI 15:00"
"3.","17242","10","11.5",NA,NA,"10",NA,NA,NA,NA,NA,"31.5 (31.5%)",NA,"SRI 15:00"
"4.","16928","10","2.9",NA,NA,NA,NA,NA,NA,NA,NA,"12.9 (12.9%)",NA,"SRI 15:00"
"5.","16761","10","2.9",NA,NA,"6.5",NA,NA,NA,NA,NA,"19.4 (19.39%)",NA,"SRI 15:00"
"6.","17536","10","12.9",NA,NA,"11.9","8",NA,NA,NA,NA,"42.8 (42.8%)",NA,"SRI 15:00"
"7.","17846","10","15.6",NA,NA,"11.1","11",NA,NA,NA,"28","75.7 (75.7%)","8","SRI 15:00"
