"R.br.","Br.indexa","Zadace","Prisustvo","Iparc17.11.","IIparc11.01.","Dodatnaaktivnost21.01.","Zavrsni29.01.","Iparc20.02.","IIparc20.02.","UKUPNO","Ocjena","Grupa"
"1.","14621","0","7.83","7","13",NA,NA,"12.5",NA,"33.33 (31.74%)",NA,"G1"
"2.","17512","0","10","16","10",NA,NA,NA,NA,"36 (34.28%)",NA,"G1"
"3.","16335","0","0.87","12.5",NA,NA,NA,NA,NA,"13.37 (12.73%)",NA,"G1"
"4.","17670","0","10","17.5","13.5",NA,NA,NA,NA,"41 (39.04%)",NA,"G1"
"1.","17730","0","9.6","17.5","16.5","5",NA,NA,NA,"48.6 (46.28%)",NA,"G2"
"2.","17941","0","8.8","15","12",NA,NA,NA,NA,"35.8 (34.09%)",NA,"G2"
"3.","17374","0","9.2","14","11",NA,NA,NA,NA,"34.2 (32.57%)",NA,"G2"
"4.","17880","0","9.2","11.5",NA,NA,NA,NA,"14","34.7 (33.04%)",NA,"G2"
"5.","17630","0","1.6",NA,NA,NA,NA,NA,NA,"1.6 (1.52%)",NA,"G2"
"6.","17349","0","9.2","15.5","12.5","5",NA,NA,NA,"42.2 (40.19%)",NA,"G2"
"7.","17871","0","9.2","14","10.5",NA,NA,NA,NA,"33.7 (32.09%)",NA,"G2"
"8.","17979","0","10","16","10",NA,NA,NA,NA,"36 (34.28%)",NA,"G2"
"9.","17904","10","9.6","18","14.5","5","40",NA,NA,"97.1 (92.47%)","10","G2"
"10.","16486","0","1.6",NA,"11",NA,NA,"11",NA,"23.6 (22.47%)",NA,"G2"
"11.","17794","0","9.6","16","13",NA,NA,NA,NA,"38.6 (36.76%)",NA,"G2"
"12.","16761","9","3.2","11","12.5",NA,"25",NA,NA,"60.7 (57.8%)","6","G2"
"13.","17273","3","6.8","11.5","11","5",NA,NA,NA,"37.3 (35.52%)",NA,"G2"
"14.","17500","7","9.2","11","10.5","5","30",NA,NA,"72.7 (69.23%)","7","G2"
"15.","17940","10","10","15","12.5",NA,NA,NA,NA,"47.5 (45.23%)",NA,"G2"
"16.","17812","10","10","16","15.5",NA,NA,NA,NA,"51.5 (49.04%)",NA,"G2"
"17.","17729","9","9.6","18","16.5","5","40",NA,NA,"98.1 (93.42%)","10","G2"
"18.","17395","0","8.4","12.5","12","5",NA,NA,NA,"37.9 (36.09%)",NA,"G2"
"1.","17743","8","9.6","16","15.5",NA,NA,NA,NA,"49.1 (46.76%)",NA,"G3"
"2.","17800","0","8.8","16","12.5",NA,NA,NA,NA,"37.3 (35.52%)",NA,"G3"
"3.","17853","0","10","14.5","12.5","5",NA,NA,NA,"42 (40%)",NA,"G3"
"4.","17933","8","10","16","16","5",NA,NA,NA,"55 (52.38%)",NA,"G3"
"5.","17469","9","8","13.5","11.5","5","31",NA,NA,"78 (74.28%)","8","G3"
"6.","17762","9","10","14.5","17.5","5","40",NA,NA,"96 (91.42%)","10","G3"
"7.","17580","7","7.2","13.5","13.5",NA,"31",NA,NA,"72.2 (68.76%)","7","G3"
"8.","17706","6","8.8","13","14.5",NA,"31",NA,NA,"73.3 (69.8%)","7","G3"
"9.","17496","8","8.8","15","13",NA,"24",NA,NA,"68.8 (65.52%)","7","G3"
"10.","17321","0","7.2","14.5","12",NA,NA,NA,NA,"33.7 (32.09%)",NA,"G3"
"11.","17873","0","10","17","13.5","5",NA,NA,NA,"45.5 (43.33%)",NA,"G3"
"12.","17599","10","9.2","13.5","11.5","5","36",NA,NA,"85.2 (81.14%)","9","G3"
"13.","17822","0","10","15","14","5",NA,NA,NA,"44 (41.9%)",NA,"G3"
"14.","17811","9","10","16.5","19","5","38",NA,NA,"97.5 (92.85%)","10","G3"
"15.","17333","10","9.6","17","18.5","4.9","40",NA,NA,"100 (95.23%)","10","G3"
"16.","16220","8","8","5","6",NA,NA,"8.5","10.5","35 (33.33%)",NA,"G3"
"17.","17861","9","9.6","16","18",NA,"38",NA,NA,"90.6 (86.28%)","9","G3"
"1.","17796","6","9.2","17","14","5","32",NA,NA,"83.2 (79.23%)","8","G4"
"2.","17830","0","8.8",NA,"13.5",NA,NA,"8",NA,"30.3 (28.85%)",NA,"G4"
"3.","17953","0","9.2","16","13.5",NA,NA,NA,NA,"38.7 (36.85%)",NA,"G4"
"4.","17824","10","10","17","15.5","5",NA,NA,NA,"57.5 (54.76%)",NA,"G4"
"5.","17870","10","10","17","12.5","5",NA,NA,NA,"54.5 (51.9%)",NA,"G4"
"6.","17836","10","10","17","18","5",NA,NA,NA,"60 (57.14%)",NA,"G4"
"7.","17792","10","10","17","14",NA,NA,NA,NA,"51 (48.57%)",NA,"G4"
"8.","17696","0","6.4","13","12",NA,"24",NA,NA,"55.4 (52.76%)","6","G4"
"9.","17921","8","9.6","12.5","11.5","5",NA,NA,NA,"46.6 (44.38%)",NA,"G4"
"10.","17732","8","9.6","13.5","11",NA,"40",NA,NA,"82.1 (78.19%)","8","G4"
"11.","17846","6","9.2","10","15",NA,NA,NA,NA,"40.2 (38.28%)",NA,"G4"
"12.","17831","9","9.6","17","12.5",NA,NA,NA,NA,"48.1 (45.8%)",NA,"G4"
"13.","17789","0","9.2","12","13",NA,NA,NA,NA,"34.2 (32.57%)",NA,"G4"
"14.","17989","0","9.2","16.5","13.5",NA,NA,NA,NA,"39.2 (37.33%)",NA,"G4"
"15.","17276","10","6.8","14.5","10.5","5","34",NA,NA,"80.8 (76.95%)","8","G4"
"16.","17810","10","8.8","17","13.5",NA,NA,NA,NA,"49.3 (46.95%)",NA,"G4"
"17.","17460","0","10","17","11",NA,NA,NA,NA,"38 (36.19%)",NA,"G4"
"18.","17980","8","8.8","15","16.5",NA,"29",NA,NA,"77.3 (73.61%)",NA,"G4"
"19.","15830","0","0.4",NA,NA,NA,NA,NA,NA,"0.4 (0.38%)",NA,"G4"
"20.","17288","0","8.4","10","10",NA,NA,NA,NA,"28.4 (27.04%)",NA,"G4"
"21.","17837","10","10","16.5","14","5","38",NA,NA,"93.5 (89.04%)","9","G4"
"22.","17951","10","10","18.5","14.5","5","39",NA,NA,"97 (92.38%)","10","G4"
"23.","17523","9","9.2","10","12",NA,"28",NA,NA,"68.2 (64.95%)","7","G4"
"1.","15904","0","7.5","7","4.5",NA,NA,"11.5","13","32 (30.47%)",NA,"[Bez grupe]"
"2.","17004","0","8.75",NA,NA,NA,NA,NA,NA,"8.75 (8.33%)",NA,"[Bez grupe]"
