"R.br.","Br.indexa","Prisustvo","Zadace","Iparc26.04.","IIparc23.06.","Iparc03.07.","IIparc03.07.","Usmeni03.07.","Usmeni06.07.","Usmeni13.07.","Iparc01.09.","IIparc01.09.","Usmeni13.09.","UKUPNO","Ocjena","Grupa"
"1.","17713","10","0",NA,NA,"8.2","8",NA,NA,NA,NA,NA,NA,"26.2 (26.2%)","6","[Bez grupe]"
"2.","17301","10","0","8.2","9.5","11.3",NA,NA,NA,NA,NA,NA,NA,"30.8 (30.8%)","6","[Bez grupe]"
"3.","17656","10","0","4.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.6 (14.6%)",NA,"[Bez grupe]"
"4.","17671","10","0","10.4","8.2",NA,NA,NA,NA,NA,NA,NA,NA,"28.6 (28.59%)","6","[Bez grupe]"
"5.","17451","10","0",NA,"10","11.9",NA,NA,NA,NA,NA,NA,NA,"31.9 (31.9%)","6","[Bez grupe]"
"6.","17779","10","0","9.3","8.5",NA,NA,NA,NA,NA,NA,NA,NA,"27.8 (27.8%)","6","[Bez grupe]"
"7.","17615","10","0","9","9","10.5","14",NA,NA,NA,NA,NA,NA,"34.5 (34.49%)","8","[Bez grupe]"
"8.","17374","10","0","18","19.5",NA,NA,NA,NA,NA,NA,NA,NA,"47.5 (47.5%)","10","[Bez grupe]"
"9.","17848","10","0","10.3","11.4","12","8",NA,NA,NA,NA,NA,NA,"33.4 (33.39%)","7","[Bez grupe]"
"10.","17349","10","0","14","18.2",NA,NA,NA,NA,NA,NA,NA,NA,"42.2 (42.2%)","10","[Bez grupe]"
"11.","17871","10","0","9.5","16.1","17.8",NA,NA,NA,NA,NA,NA,NA,"43.9 (43.9%)","9","[Bez grupe]"
"12.","17733","10","0","8.2","10.7","13","6.8",NA,NA,NA,NA,NA,NA,"33.7 (33.7%)","8","[Bez grupe]"
"13.","17979","10","0","4.8","17.4",NA,NA,NA,NA,NA,NA,NA,NA,"32.2 (32.2%)","9","[Bez grupe]"
"14.","16480","10","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 (10%)",NA,"[Bez grupe]"
"15.","17830","10","0","2.3","10.8","19.5",NA,NA,NA,NA,NA,NA,NA,"40.3 (40.29%)","7","[Bez grupe]"
"16.","17905","10","0","17.6","18.3",NA,NA,NA,NA,NA,NA,NA,NA,"45.9 (45.9%)","10","[Bez grupe]"
"17.","17419","10","0","4.9","13","10.3",NA,NA,NA,NA,NA,NA,NA,"33.3 (33.29%)","6","[Bez grupe]"
"18.","17965","10","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 (10%)",NA,"[Bez grupe]"
"19.","17988","10","0","19","15.6",NA,NA,NA,NA,NA,NA,NA,NA,"44.6 (44.6%)","9","[Bez grupe]"
"20.","17824","10","0","16","10.3",NA,"16.3",NA,NA,NA,NA,NA,NA,"42.3 (42.3%)","10","[Bez grupe]"
"21.","17086","10","0","3.7","3.6","10.9","14",NA,NA,NA,NA,NA,NA,"34.9 (34.89%)","6","[Bez grupe]"
"22.","17928","10","0","17.2","15.7",NA,NA,NA,NA,NA,NA,NA,NA,"42.9 (42.9%)","10","[Bez grupe]"
"23.","17923","10","0","8.7","2.7","12","14",NA,NA,NA,NA,NA,NA,"36 (36%)","7","[Bez grupe]"
"24.","16543","10","0",NA,"16.6","11.7",NA,NA,NA,NA,NA,NA,NA,"38.3 (38.29%)","7","[Bez grupe]"
"25.","18009","10","0","12.6","11.2",NA,NA,NA,NA,NA,NA,NA,NA,"33.8 (33.79%)","8","[Bez grupe]"
"26.","17948","10","0","1.6",NA,"8.3","0",NA,NA,NA,NA,NA,NA,"18.3 (18.3%)",NA,"[Bez grupe]"
"27.","17668","10","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 (10%)",NA,"[Bez grupe]"
"28.","17870","10","0","10.8",NA,NA,NA,NA,NA,NA,"10.8","14",NA,"34.8 (34.79%)","7","[Bez grupe]"
"29.","17938","10","0","17.8","17.7",NA,NA,NA,NA,NA,NA,NA,NA,"45.5 (45.5%)","9","[Bez grupe]"
"30.","17836","10","0","11.5","9.9","13","14",NA,NA,NA,NA,NA,NA,"37 (37%)","10","[Bez grupe]"
